GEOID,NAME,pcthshigherE,totpop25E,year
51,Virginia,86.1,5208536,2010
51,Virginia,86.6,5279997,2011
51,Virginia,86.9,5356571,2012
51,Virginia,87.5,5427938,2013
51,Virginia,87.9,5501125,2014
51,Virginia,88.3,5566373,2015
51,Virginia,88.6,5621010,2016
51,Virginia,89,5680765,2017
51,Virginia,89.3,5730352,2018
51,Virginia,89.7,5776886,2019
51,Virginia,90.3,5831949,2020
51,Virginia,90.8,5882521,2021
51003,"Albemarle County, Virginia",90.9,63226,2010
51540,"Charlottesville city, Virginia",85.2,23696,2010
51540,"Charlottesville city, Virginia",85.9,23982,2011
51003,"Albemarle County, Virginia",90.4,64340,2011
51003,"Albemarle County, Virginia",90.7,65425,2012
51540,"Charlottesville city, Virginia",86.3,24772,2012
51540,"Charlottesville city, Virginia",88.2,25614,2013
51003,"Albemarle County, Virginia",91.4,66879,2013
51540,"Charlottesville city, Virginia",88.7,26533,2014
51003,"Albemarle County, Virginia",91.4,67953,2014
51540,"Charlottesville city, Virginia",90.2,27803,2015
51003,"Albemarle County, Virginia",91.3,69085,2015
51540,"Charlottesville city, Virginia",90.3,28530,2016
51003,"Albemarle County, Virginia",91.4,70026,2016
51540,"Charlottesville city, Virginia",90.5,29754,2017
51003,"Albemarle County, Virginia",91.4,70813,2017
51540,"Charlottesville city, Virginia",90.9,30125,2018
51003,"Albemarle County, Virginia",91.4,71888,2018
51540,"Charlottesville city, Virginia",91.1,30356,2019
51003,"Albemarle County, Virginia",92.1,72937,2019
51540,"Charlottesville city, Virginia",90.9,30341,2020
51003,"Albemarle County, Virginia",92.7,73818,2020
51003,"Albemarle County, Virginia",93.3,75879,2021
51540,"Charlottesville city, Virginia",92.4,30077,2021
